'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
'Landing (descent or approach)',Positioning,Mountains,2,0,0-10,'Human factor'
'Takeoff (climb)',Private,'Plain, Valley',1,3,0-10,'Human factor'
Flight,Military,'Lake, Sea, Ocean, River',4,17,0-10,'Technical failure'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)',Positioning,Mountains,1,0,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',0,0,0-10,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,1,2,0-10,'Human factor'
Flight,Positioning,'Lake, Sea, Ocean, River',2,0,0-10,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)',Delivery,'Airport (less than 10 km from airport)',4,0,0-10,Unknown
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,1,0-10,'Technical failure'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,3,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,1,0-10,'Technical failure'
Taxiing,Cargo,'Airport (less than 10 km from airport)',3,0,0-10,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',1,0,0-10,'Human factor'
Flight,Ferry,'Airport (less than 10 km from airport)',1,0,0-10,'Technical failure'
Flight,Private,Mountains,1,0,0-10,'Human factor'
'Takeoff (climb)',Military,City,2,3,0-10,'Technical failure'
'Landing (descent or approach)',Humanitarian,'Airport (less than 10 km from airport)',2,0,0-10,'Other causes'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',5,3,0-10,'Human factor'
Taxiing,Government,'Airport (less than 10 km from airport)',0,0,0-10,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,2,0-10,Unknown
Flight,Private,Mountains,1,4,0-10,'Human factor'
'Takeoff (climb)','Skydiving / Paratroopers','Airport (less than 10 km from airport)',1,9,0-10,Unknown
'Takeoff (climb)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
Flight,Private,'Plain, Valley',1,2,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',3,1,0-10,'Technical failure'
'Landing (descent or approach)','Skydiving / Paratroopers','Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',1,5,0-10,Unknown
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,2,14,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',16,187,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',0,0,0-10,Unknown
'Takeoff (climb)','Skydiving / Paratroopers','Airport (less than 10 km from airport)',1,6,0-10,Unknown
'Landing (descent or approach)',Cargo,'Lake, Sea, Ocean, River',2,0,0-10,'Human factor'
Flight,Positioning,Mountains,1,0,0-10,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',9,0,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',4,0,0-10,'Human factor'
Flight,Military,Mountains,2,5,0-10,Unknown
Flight,'Illegal (smuggling)',Desert,0,0,0-10,Unknown
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,11,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
Flight,Military,'Lake, Sea, Ocean, River',14,0,0-10,'Other causes'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',3,0,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,2,0-10,'Technical failure'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Takeoff (climb)',Positioning,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,8,0-10,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',3,0,0-10,'Human factor'
'Landing (descent or approach)','Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',2,0,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,24,0-10,'Technical failure'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,2,0-10,'Technical failure'
'Landing (descent or approach)',Private,'Plain, Valley',1,0,0-10,'Human factor'
'Takeoff (climb)','Spraying (Agricultural)','Plain, Valley',2,0,0-10,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',City,2,16,0-10,Unknown
Taxiing,Training,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',3,0,0-10,'Technical failure'
Flight,'Survey / Patrol / Reconnaissance','Plain, Valley',2,0,0-10,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Government,Mountains,2,1,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',City,2,5,0-10,'Human factor'
'Takeoff (climb)','Illegal (smuggling)','Plain, Valley',1,1,0-10,'Human factor'
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',5,0,0-10,'Human factor'
'Takeoff (climb)',Test,'Airport (less than 10 km from airport)',7,0,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',3,1,0-10,'Technical failure'
'Landing (descent or approach)',Government,'Airport (less than 10 km from airport)',2,4,0-10,Unknown
