'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.990746,8.979576,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.708154,34.444443,11-40,'Human factor'
Flight,Government,Mountains,3,8.097435,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,2,26,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,19.611739,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,19.946907,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',9.888064,88.954,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18.054008,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,121.84885,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',3,11,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1.684685,11,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',4,10,11-40,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,1.023599,12,11-40,'Human factor'
Flight,Cargo,'Airport (less than 10 km from airport)',6.169593,6,11-40,Weather
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',7.030903,4.049957,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,9.726193,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.100375,9,11-40,'Human factor'
Flight,Military,Mountains,6.805255,28,11-40,Unknown
Flight,'Scheduled Revenue Flight','Plain, Valley',4,32,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,12.47374,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,12,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',4.855645,33.540535,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',5,7.833772,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',4,10,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',4,35.879541,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',16.82939,0,11-40,'Terrorism act, Hijacking, Sabotage'
Flight,Cargo,'Airport (less than 10 km from airport)',6,7,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.06046,28,11-40,'Human factor'
Flight,Military,Mountains,6.339005,27.285553,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,5.707018,25.114495,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,5.89388,26,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',15.398275,0,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,2.850294,26.993933,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,19,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,19,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',6.213523,9,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',2,12,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',6,9.568035,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7.336807,73.250866,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,20.87529,11-40,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',4.417877,20.478174,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.483105,60.723749,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,4.693914,10,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,18.611949,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.46315,49.34157,11-40,'Human factor'
Flight,Executive/Corporate/Business,Mountains,3,8.603125,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',4.611437,31,11-40,'Human factor'
'Landing (descent or approach)',Government,'Airport (less than 10 km from airport)',3,8.356723,11-40,'Human factor'
'Landing (descent or approach)',Government,'Airport (less than 10 km from airport)',3,8.973858,11-40,'Human factor'
'Takeoff (climb)',Military,City,7.408407,18,11-40,'Technical failure'
'Takeoff (climb)',Cargo,City,4.006579,0,11-40,'Technical failure'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',13.165558,0,11-40,'Human factor'
'Takeoff (climb)',Training,'Airport (less than 10 km from airport)',6.809716,0,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',3,26.854536,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',3,26.22316,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18,11-40,'Human factor'
Flight,Cargo,'Airport (less than 10 km from airport)',8.065341,0.503545,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,14.746436,11-40,'Human factor'
'Landing (descent or approach)',Cargo,Mountains,9.923253,9.060463,11-40,'Human factor'
Flight,Government,City,3,5.588874,11-40,'Human factor'
Flight,Government,City,3,6.574372,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3.69313,26.363423,11-40,'Human factor'
Flight,Cargo,'Airport (less than 10 km from airport)',3.03415,8,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,14.900924,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
Flight,Military,'Plain, Valley',5.499507,15.65233,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',15.626955,1.969063,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',4,33.177654,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',6,27.538994,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',10,13.065714,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,3.565148,26,11-40,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',5.378395,17.012448,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.860321,31.4803,11-40,'Human factor'
'Takeoff (climb)',Cargo,City,3.488236,0.668828,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,19.804886,11-40,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,6.281734,24,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.052523,58.666853,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,10.562025,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.451878,64.967119,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7.801465,65.026457,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,20,11-40,'Other causes'
'Landing (descent or approach)',Cargo,Mountains,9.102922,13.622638,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',4,10,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,3,20.608648,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,12.252653,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2.455002,14,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',3.309898,29.715499,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',5.822739,17.196066,11-40,'Technical failure'
Flight,Military,'Plain, Valley',4.464373,13,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',9.240714,86.499694,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',9.188697,77.874297,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3.700989,11,11-40,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',4.148146,17.541763,11-40,'Technical failure'
Flight,Executive/Corporate/Business,Mountains,3,8.908114,11-40,'Human factor'
Flight,Executive/Corporate/Business,Mountains,3,8.06941,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,17,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,12,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,13.208704,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',4.475572,33.263201,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',2,12.074619,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',2,12,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1.649751,13,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,2,16.816159,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',12.566806,249.904811,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',6.720459,6.746935,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.480275,50.685877,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.069904,48.622678,11-40,'Human factor'
Flight,Military,'Plain, Valley',10.273273,20.871677,11-40,'Technical failure'
'Takeoff (climb)',Cargo,City,2.183868,0,11-40,'Technical failure'
'Takeoff (climb)',Cargo,City,2.684033,0,11-40,'Technical failure'
Flight,Military,'Plain, Valley',6.388459,21,11-40,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',3.41758,7.905521,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,20.025279,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',6.649117,14.509199,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',8.469931,14.709236,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',4,10,11-40,'Technical failure'
Flight,Military,'Airport (less than 10 km from airport)',4,10,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2.182854,22.621263,11-40,'Other causes'
Flight,'Scheduled Revenue Flight',Mountains,5.401153,28,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2.197279,21.597765,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,20.81028,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,6,27.838472,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2.024853,16,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',6.927273,34.311975,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',4,36,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.271923,52.168412,11-40,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',4,11,11-40,'Technical failure'
'Takeoff (climb)',Cargo,City,3.537575,0,11-40,'Technical failure'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',5.1429,11,11-40,'Human factor'
Flight,Military,'Plain, Valley',8.309244,14.308452,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.827573,32.069861,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,14.494818,11-40,'Technical failure'
'Landing (descent or approach)',Military,'Plain, Valley',5.546711,21,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Military,Mountains,8.877462,9,11-40,'Technical failure'
'Landing (descent or approach)',Military,Mountains,8.595306,9.220343,11-40,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',4,20,11-40,'Other causes'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,3,8.665798,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',8,10.765079,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',8,11.014808,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',16,0,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',14.440663,0,11-40,'Human factor'
Flight,Cargo,'Airport (less than 10 km from airport)',5.69551,6.86996,11-40,'Technical failure'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',7.678208,11.637018,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2.924177,18,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
'Takeoff (climb)',Cargo,City,4,0,11-40,'Technical failure'
Flight,Cargo,'Airport (less than 10 km from airport)',5.328943,6,11-40,Weather
Flight,Military,'Plain, Valley',3.567698,10,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Plain, Valley',9,19.621143,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Plain, Valley',8.443633,21,11-40,'Technical failure'
'Landing (descent or approach)',Military,Mountains,5.851674,23.592247,11-40,'Human factor'
'Landing (descent or approach)',Military,Mountains,5.088112,24,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.760246,38.506426,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,5.860081,25,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',5,21.760335,11-40,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight','Plain, Valley',5,20.097234,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.595117,9.499229,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,10,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',6.774843,0,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
'Takeoff (climb)',Cargo,City,4,0,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.105637,31,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.434439,64.272168,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,45.901997,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3.016067,46.731968,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3.205911,37.413208,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,45.155747,11-40,'Technical failure'
Flight,Military,'Airport (less than 10 km from airport)',4,10,11-40,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',4.35763,20,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.207979,29.717505,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',4,34.910646,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,10,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',15.563263,0,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Plain, Valley',3,24.228246,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,9.05186,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2.663649,16,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,1,10.192881,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',3,24.369804,11-40,'Technical failure'
Flight,Military,'Plain, Valley',6,13.115521,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,19,11-40,'Human factor'
'Landing (descent or approach)',Cargo,Mountains,8.306022,11.768664,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3.261404,18,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18.870796,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.53009,98.668888,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,22,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,22,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3.137179,11.281616,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,16,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',20.63636,0,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Military,Mountains,8.528891,9.34733,11-40,'Human factor'
'Landing (descent or approach)',Military,'Plain, Valley',4.5596,24,11-40,'Technical failure'
'Landing (descent or approach)',Military,'Plain, Valley',5,24.782497,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,3.415307,12,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',8.741811,14.663956,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',7.324423,26.125889,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',4.133005,24.946326,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,2.459976,20,11-40,'Human factor'
'Landing (descent or approach)',Military,'Lake, Sea, Ocean, River',5,23.028377,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,5.231381,25,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Human factor'
Flight,Cargo,'Airport (less than 10 km from airport)',7,6,11-40,Weather
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,10.992378,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3.690047,47.886783,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.605479,84.129592,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.10032,87.083117,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,6.961673,57.815242,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,6.771198,59.991882,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,5,47.206738,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.911312,80.878429,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',10.22715,97.933831,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',8.178779,107.667624,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.01532,80.017098,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.410491,80.453911,41-100,'Technical failure'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',12.962415,65.162029,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',10.787608,68.403471,41-100,'Human factor'
Flight,Military,'Plain, Valley',6,44.789191,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.360055,77.327609,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.777916,76.225022,41-100,'Technical failure'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.142056,82.566247,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.836896,85.725005,41-100,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,6.691148,23.576086,41-100,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,6.239285,30.554973,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',8.435886,50.110243,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',10.387015,48.57885,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,3,49.345684,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,4.518138,47.90025,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',12.772609,74.136037,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.438156,109.703808,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.357618,109.293322,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',4.150359,41.353823,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',3.241606,38.036006,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',4.488499,38.423233,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.029378,84.640907,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,94.562973,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.661345,110.803495,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.124977,95.195949,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7.403313,79.032021,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.241038,80.567293,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',6.596576,40.9974,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',6.503022,40.706858,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,6.777712,63,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,5,48,41-100,'Human factor'
Flight,Military,'Plain, Valley',5.576712,44.131068,41-100,'Technical failure'
Flight,Military,'Plain, Valley',5.676123,44,41-100,'Technical failure'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.336458,89.274774,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',6.288025,69.88951,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,9.65792,61.254698,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,10.478394,61.071106,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,7.976149,56.482671,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight',Mountains,8.915643,56.757246,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,Military,Mountains,4.896314,47,41-100,'Technical failure'
Flight,Military,Mountains,3.237867,47.060138,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.860497,111.750697,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',6.198886,38.743762,41-100,'Technical failure'
