'Flight phase','Flight type',Survivors,'Crash site',Region,'Crew on board','Crew fatalities','Pax on board','PAX fatalities','Other fatalities','Total fatalities','Crash cause'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,4,0,15,0,0,0,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','Central America',1,0,6,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',5,0,41,0,0,0,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Europe,2,0,1,0,0,0,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Europe,9,0,236,1,0,1,'Human factor'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','South America',2,2,0,0,0,2,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','Central America',1,1,5,5,0,6,Weather
Flight,Training,No,Mountains,'Central America',5,5,0,0,0,5,'Human factor'
Flight,Private,No,'Lake, Sea, Ocean, River','Central America',1,1,1,1,0,2,'Technical failure'
'Landing (descent or approach)',Positioning,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'North America',1,1,9,9,0,10,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',2,0,3,0,0,0,'Human factor'
'Landing (descent or approach)',Positioning,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Takeoff (climb)','Spraying (Agricultural)',Yes,'Plain, Valley',Oceania,1,0,0,0,0,0,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,7,0,0,0,0,0,'Human factor'
Flight,'Aerial photography',Yes,'Plain, Valley','North America',1,0,4,0,0,0,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River','North America',1,0,1,0,0,0,'Technical failure'
'Takeoff (climb)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,7,0,0,0,'Human factor'
'Takeoff (climb)',Positioning,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,'Human factor'
Taxiing,NA,Yes,'Airport (less than 10 km from airport)',Europe,2,0,0,0,0,0,'Human factor'
Flight,'Illegal (smuggling)',No,'Airport (less than 10 km from airport)',Africa,1,1,0,0,0,1,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Plain, Valley','South America',1,1,7,4,0,5,'Technical failure'
Flight,Cargo,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
Flight,Cargo,Yes,'Lake, Sea, Ocean, River','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Europe,3,0,5,0,0,0,'Human factor'
'Landing (descent or approach)',Private,Yes,'Plain, Valley',Europe,0,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,6,0,2,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Lake, Sea, Ocean, River',Asia,2,0,0,0,0,0,'Human factor'
Flight,Delivery,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Plain, Valley','South America',2,0,0,0,0,0,'Human factor'
Flight,Military,No,'Plain, Valley','South America',3,3,3,3,0,6,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Lake, Sea, Ocean, River',Europe,2,2,1,1,0,3,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley','North America',2,2,4,4,0,6,'Technical failure'
Flight,'Survey / Patrol / Reconnaissance',No,'Lake, Sea, Ocean, River',Asia,21,21,0,0,0,21,Unknown
'Takeoff (climb)',Topographic,No,'Airport (less than 10 km from airport)',Europe,1,1,1,1,0,2,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','North America',1,0,2,0,0,0,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)','Central America',5,5,13,13,0,18,'Human factor'
Flight,Cargo,No,'Plain, Valley','South America',3,3,2,2,0,5,Weather
Taxiing,Military,No,'Airport (less than 10 km from airport)',Africa,6,6,0,0,0,6,'Other causes'
'Takeoff (climb)',Executive/Corporate/Business,No,'Lake, Sea, Ocean, River','North America',2,2,1,1,0,3,'Technical failure'
Flight,Humanitarian,No,Mountains,Europe,3,3,21,21,0,24,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Europe,2,0,4,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,6,0,0,0,0,0,'Technical failure'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,3,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,5,0,0,0,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Africa,1,0,4,0,0,0,Unknown
Flight,Test,No,'Lake, Sea, Ocean, River','North America',1,1,0,0,0,1,'Human factor'
'Takeoff (climb)',Military,No,'Airport (less than 10 km from airport)',Africa,3,3,0,0,0,3,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)',Africa,1,1,3,3,0,4,Unknown
'Takeoff (climb)',Private,No,'Lake, Sea, Ocean, River','North America',1,1,3,3,0,4,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Technical failure'
Flight,Cargo,Yes,'Plain, Valley',Europe,2,0,1,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Europe,1,0,0,0,0,0,'Human factor'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,3,2,4,3,0,5,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)',Africa,1,1,9,9,0,10,'Technical failure'
Flight,'Scheduled Revenue Flight',No,'Plain, Valley','North America',1,1,5,5,0,6,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,Asia,2,2,15,15,0,17,'Human factor'
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)',Asia,8,0,86,3,0,3,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,Mountains,Asia,3,1,3,2,0,3,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,Europe,4,4,31,31,0,35,'Human factor'
Flight,Private,No,Mountains,'North America',2,2,1,1,0,3,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','North America',2,0,5,0,0,0,'Other causes'
'Takeoff (climb)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',2,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','Central America',18,8,296,8,2,18,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','Central America',1,1,1,1,0,2,Unknown
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,Mountains,'Central America',1,0,1,0,0,0,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,0,5,0,0,0,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'South America',12,12,10,10,0,22,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',No,Mountains,Asia,3,3,7,7,0,10,'Human factor'
Taxiing,Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',2,0,4,0,0,0,'Technical failure'
Flight,'Skydiving / Paratroopers',Yes,'Plain, Valley',Europe,1,1,3,1,0,2,Weather
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','North America',1,0,5,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,4,0,0,0,0,0,'Human factor'
Flight,Ferry,No,'Lake, Sea, Ocean, River',Asia,2,2,4,4,0,6,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','Central America',2,0,7,0,0,0,'Technical failure'
Flight,Private,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,2,0,11,1,1,2,Unknown
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,Unknown
'Landing (descent or approach)',Positioning,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River',Africa,3,1,38,21,0,22,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,Mountains,'North America',1,1,5,2,0,3,'Human factor'
'Takeoff (climb)',Military,Yes,'Airport (less than 10 km from airport)','South America',7,0,24,5,0,5,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,City,'Central America',3,1,15,4,0,5,'Human factor'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)',Europe,1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',1,1,3,3,0,4,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley','Central America',1,1,6,6,0,7,'Human factor'
Flight,Executive/Corporate/Business,No,'Plain, Valley',Asia,1,1,3,3,0,4,Unknown
'Takeoff (climb)',Government,No,'Airport (less than 10 km from airport)','Central America',2,2,3,3,0,5,Unknown
'Takeoff (climb)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',2,0,4,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',No,'Lake, Sea, Ocean, River','North America',5,5,83,83,0,88,'Technical failure'
'Landing (descent or approach)',Government,Yes,'Airport (less than 10 km from airport)','South America',2,0,17,0,0,0,'Human factor'
'Takeoff (climb)',Training,No,'Airport (less than 10 km from airport)',Asia,6,6,0,0,0,6,'Technical failure'
Taxiing,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,3,3,0,0,0,3,'Technical failure'
'Takeoff (climb)',Test,Yes,'Airport (less than 10 km from airport)','Central America',2,0,0,0,0,0,'Technical failure'
Flight,Positioning,Yes,'Lake, Sea, Ocean, River','North America',1,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,City,Africa,2,0,16,0,1,1,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,0,8,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,7,0,0,0,0,0,'Human factor'
Taxiing,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,11,0,171,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','North America',3,3,0,0,0,3,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,37,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,Mountains,'South America',2,2,2,2,0,4,'Human factor'
'Landing (descent or approach)',Military,Yes,City,Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,0,6,0,0,0,'Human factor'
Flight,Private,Yes,'Plain, Valley',Africa,1,0,4,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',5,0,137,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)',Asia,5,5,4,4,0,9,'Human factor'
'Landing (descent or approach)',Cargo,No,'Lake, Sea, Ocean, River','North America',2,2,0,0,0,2,'Other causes'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Africa,3,0,3,0,0,0,'Technical failure'
Flight,'Scheduled Revenue Flight',No,Mountains,'Central America',2,2,8,8,0,10,'Human factor'
'Landing (descent or approach)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,5,0,5,0,0,0,Weather
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Asia,1,0,4,1,0,1,'Human factor'
Flight,Military,No,Mountains,Europe,3,3,4,4,0,7,Unknown
'Takeoff (climb)',Positioning,Yes,'Airport (less than 10 km from airport)',Europe,1,0,0,0,0,0,'Technical failure'
'Takeoff (climb)',Government,Yes,'Airport (less than 10 km from airport)',Africa,4,0,29,3,0,3,Unknown
'Landing (descent or approach)',Positioning,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Military,No,'Airport (less than 10 km from airport)',Asia,4,4,36,36,0,40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Military,No,'Airport (less than 10 km from airport)','South America',2,2,2,2,0,4,'Technical failure'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','South America',1,1,0,0,0,1,'Human factor'
Flight,Training,No,'Plain, Valley',Europe,2,2,0,0,0,2,Unknown
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,2,1,1,1,0,2,'Human factor'
'Landing (descent or approach)',Training,No,'Airport (less than 10 km from airport)',Europe,2,2,0,0,0,2,Unknown
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)',Asia,2,0,2,0,0,0,Weather
'Landing (descent or approach)','Skydiving / Paratroopers',No,'Airport (less than 10 km from airport)',Europe,2,2,0,0,0,2,'Other causes'
'Takeoff (climb)',Private,No,City,'South America',1,1,2,2,0,3,'Technical failure'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Spraying (Agricultural)',No,'Plain, Valley',Asia,2,2,1,1,0,3,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)',Asia,7,7,124,124,0,131,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley',Africa,1,1,1,1,0,2,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)',Africa,4,4,20,20,0,24,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,42,0,0,0,Weather
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,2,0,0,0,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)',Oceania,1,1,3,3,0,4,'Human factor'
Flight,Private,No,Mountains,'North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Lake, Sea, Ocean, River',Africa,7,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,No,Mountains,'South America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)',Europe,1,0,0,0,0,0,Unknown
Flight,Positioning,No,'Lake, Sea, Ocean, River',World,2,2,0,0,0,2,Unknown
'Takeoff (climb)','Survey / Patrol / Reconnaissance',Yes,'Airport (less than 10 km from airport)','North America',3,0,0,0,0,0,'Other causes'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',2,2,4,4,0,6,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',2,0,6,0,0,0,Unknown
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Private,Yes,'Plain, Valley',World,2,0,3,0,0,0,'Other causes'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Africa,2,1,8,2,0,3,'Human factor'
'Landing (descent or approach)',Government,Yes,'Plain, Valley','South America',2,0,7,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Lake, Sea, Ocean, River',Oceania,1,1,7,7,0,8,'Technical failure'
Flight,Executive/Corporate/Business,No,Mountains,'North America',2,2,1,1,0,3,Weather
'Takeoff (climb)',Training,Yes,'Airport (less than 10 km from airport)','Central America',2,1,0,0,0,1,'Human factor'
Flight,Executive/Corporate/Business,No,'Plain, Valley',Europe,1,1,5,5,0,6,Weather
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,10,0,44,7,0,7,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,4,0,4,0,0,0,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Europe,0,0,0,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Africa,1,0,7,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)',Europe,1,0,2,0,0,0,'Human factor'
Parking,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,0,6,0,0,0,'Human factor'
'Landing (descent or approach)',Ambulance,No,'Lake, Sea, Ocean, River',Europe,1,1,4,4,0,5,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River','North America',1,0,5,3,0,3,'Human factor'
'Landing (descent or approach)',Government,Yes,'Airport (less than 10 km from airport)',Asia,7,0,221,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Plain, Valley',Asia,4,4,38,38,7,49,Weather
'Takeoff (climb)',Positioning,No,City,'North America',2,2,1,1,0,3,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Oceania,1,0,5,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,5,0,0,0,0,0,'Human factor'
Flight,Test,No,'Lake, Sea, Ocean, River',Asia,8,8,0,0,0,8,'Technical failure'
'Landing (descent or approach)','Fire fighting',Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Positioning,No,Mountains,Oceania,1,1,0,0,0,1,Unknown
'Landing (descent or approach)',Military,Yes,'Lake, Sea, Ocean, River',Asia,4,4,11,10,0,14,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Europe,8,0,86,0,0,0,'Human factor'
Flight,Test,Yes,'Plain, Valley',Europe,1,0,2,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,'Central America',2,2,17,17,0,19,'Human factor'
Flight,'Postal (mail)',No,'Lake, Sea, Ocean, River','Central America',1,1,0,0,0,1,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','South America',2,2,17,8,0,10,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Europe,8,0,143,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Africa,0,0,0,0,0,0,'Technical failure'
Flight,'Fire fighting',No,Mountains,Europe,2,2,0,0,0,2,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,84,0,0,0,'Human factor'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','Central America',2,2,0,0,0,2,'Technical failure'
'Landing (descent or approach)',Calibration,Yes,'Airport (less than 10 km from airport)',Europe,2,0,0,0,0,0,'Technical failure'
Flight,Training,No,'Airport (less than 10 km from airport)',Asia,7,7,6,6,0,13,'Technical failure'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,Asia,3,3,22,22,0,25,'Human factor'
'Landing (descent or approach)',Ambulance,No,Mountains,Asia,2,2,3,3,0,5,'Human factor'
'Landing (descent or approach)',Test,Yes,'Airport (less than 10 km from airport)',Europe,1,0,2,0,0,0,Unknown
Flight,'Geographical / Geophysical / Scientific',Yes,Mountains,Asia,3,0,2,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Plain, Valley','North America',1,0,2,0,0,0,'Technical failure'
'Takeoff (climb)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',1,1,2,2,0,3,'Human factor'
Flight,Military,No,Mountains,'South America',4,4,10,10,0,14,Weather
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',5,0,58,0,0,0,'Technical failure'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)',Europe,1,1,2,2,0,3,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,City,'North America',2,2,7,7,0,9,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','Central America',1,0,2,0,0,0,'Technical failure'
Flight,'Scheduled Revenue Flight',No,'Plain, Valley',Africa,6,6,21,21,0,27,Unknown
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)',Europe,0,0,0,0,0,0,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)','North America',1,1,2,2,0,3,'Human factor'
'Landing (descent or approach)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,7,0,0,0,0,0,Unknown
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','South America',1,1,5,2,0,3,Unknown
Flight,Private,No,Mountains,Europe,1,1,4,4,0,5,'Human factor'
'Takeoff (climb)',Positioning,Yes,'Airport (less than 10 km from airport)',Africa,2,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River','North America',1,0,8,1,0,1,'Technical failure'
Flight,'Scheduled Revenue Flight',No,Mountains,'Central America',2,2,8,8,0,10,'Human factor'
'Landing (descent or approach)',Government,No,Mountains,'Central America',2,2,1,1,0,3,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)',Africa,1,0,5,0,0,0,'Human factor'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,3,3,0,4,Unknown
Flight,Ferry,No,'Plain, Valley',Oceania,1,1,0,0,0,1,Unknown
Flight,Military,No,Mountains,'South America',7,7,0,0,0,7,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley',Oceania,1,1,7,7,0,8,'Technical failure'
Flight,'Fire fighting',Yes,Mountains,Europe,4,2,0,0,0,2,'Human factor'
'Takeoff (climb)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','South America',2,1,1,0,0,1,'Human factor'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)',Europe,1,1,0,0,0,1,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,9,0,0,0,'Other causes'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,9,0,0,0,'Other causes'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Government,Yes,'Airport (less than 10 km from airport)',Africa,8,0,2,0,0,0,'Technical failure'
Flight,'Geographical / Geophysical / Scientific',Yes,'Plain, Valley','North America',1,0,1,0,0,0,'Human factor'
Parking,Test,Yes,'Airport (less than 10 km from airport)','North America',3,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
Flight,'Spraying (Agricultural)',Yes,'Plain, Valley',Europe,2,0,0,0,0,0,Unknown
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','North America',3,0,18,0,0,0,'Human factor'
'Landing (descent or approach)',Positioning,Yes,'Lake, Sea, Ocean, River',Oceania,1,0,0,0,0,0,Unknown
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)',Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,3,3,0,4,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',5,0,85,0,4,4,'Human factor'
Flight,Military,Yes,'Plain, Valley','Central America',2,2,1,0,0,2,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,6,0,4,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','North America',2,2,1,1,0,3,'Human factor'
Flight,Cargo,No,'Plain, Valley','North America',1,1,0,0,0,1,'Human factor'
