'Flight phase','Flight type',Survivors,'Crash site',Region,'Crew on board','Crew fatalities','Pax on board','PAX fatalities','Other fatalities','Total fatalities','Crash cause'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,10,0,179,0,0,0,'Human factor'
Flight,Test,Yes,Mountains,'South America',1,0,0,0,0,0,Unknown
'Landing (descent or approach)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,2,0,3,0,0,0,'Human factor'
Flight,Military,Yes,'Plain, Valley','South America',0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,2,0,3,0,0,0,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Military,No,'Airport (less than 10 km from airport)',Asia,8,8,0,0,0,8,Unknown
'Landing (descent or approach)',Training,No,'Airport (less than 10 km from airport)','South America',3,3,0,0,0,3,Unknown
Flight,Private,Yes,'Plain, Valley','North America',1,0,4,0,0,0,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Technical failure'
NA,Military,Yes,'Airport (less than 10 km from airport)',Africa,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Private,Yes,Mountains,'North America',1,1,5,4,0,5,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,31,0,0,0,'Human factor'
Flight,Executive/Corporate/Business,No,Mountains,Asia,2,2,1,1,0,3,Weather
Taxiing,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',4,1,40,7,0,8,'Human factor'
Flight,Military,No,'Plain, Valley','Central America',5,5,0,0,0,5,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)',Africa,3,3,7,7,0,10,'Human factor'
'Landing (descent or approach)',Ambulance,No,'Lake, Sea, Ocean, River',Oceania,1,1,2,2,0,3,'Technical failure'
'Takeoff (climb)','Spraying (Agricultural)',No,'Airport (less than 10 km from airport)',Oceania,1,1,0,0,0,1,'Technical failure'
Flight,Cargo,Yes,'Plain, Valley',Europe,5,0,12,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,39,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','South America',3,0,0,0,0,0,Unknown
'Landing (descent or approach)',Cargo,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','Central America',1,0,4,0,0,0,Unknown
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Europe,2,0,0,0,0,0,Unknown
Flight,Military,NA,Desert,Asia,0,0,0,0,0,0,Unknown
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,5,5,0,6,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley','South America',1,1,1,1,0,2,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Plain, Valley',Oceania,1,0,6,0,0,0,'Human factor'
Flight,Military,Yes,Mountains,'South America',3,3,20,19,0,22,'Human factor'
'Landing (descent or approach)','Illegal (smuggling)',No,'Plain, Valley','Central America',1,1,2,2,0,3,'Human factor'
'Landing (descent or approach)',Test,Yes,'Airport (less than 10 km from airport)',Europe,5,0,8,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','South America',2,2,3,3,0,5,Weather
